Siniestro;Poliza;Fec_ocu;Fec_com;Fec_pago;Importe
98;44117;26-10-2018;12-11-2018;02-12-2018;122
99;66021;01-12-2019;15-12-2019;21-07-2023;58
100;25037;01-06-2023;07-06-2023;17-07-2023;122
101;26514;25-03-2019;06-04-2019;19-08-2023;71
102;48009;13-07-2022;27-07-2022;05-09-2022;109
103;43946;16-07-2022;27-07-2022;06-08-2022;111
104;65299;22-10-2019;07-12-2019;17-12-2019;101
105;77330;26-11-2020;02-12-2020;25-09-2021;97
106;31951;09-02-2019;12-02-2019;04-03-2019;131
107;90516;20-10-2019;06-12-2019;15-01-2020;89
108;33184;18-08-2023;04-10-2023;14-10-2023;84
109;44851;13-03-2018;28-03-2018;27-04-2018;117
110;60153;09-03-2023;19-03-2023;29-03-2023;103
111;96219;20-11-2018;01-12-2018;31-12-2018;121
112;11065;30-11-2018;10-12-2018;09-01-2019;99
113;82815;04-04-2020;17-04-2020;15-07-2022;83
114;84466;05-10-2020;24-10-2020;23-11-2020;120
115;70810;10-06-2023;23-07-2023;01-09-2023;93
116;85311;07-08-2022;14-08-2022;06-01-2023;66
117;45010;22-06-2020;30-06-2020;09-08-2020;133
118;22521;24-07-2021;08-08-2021;07-09-2021;107
119;68346;04-01-2019;15-02-2019;17-03-2019;114
120;16624;04-03-2021;14-03-2021;17-08-2023;82
121;21672;25-06-2018;30-06-2018;08-06-2023;48
122;75343;01-09-2022;12-09-2022;02-01-2023;94
123;21614;01-10-2022;11-10-2022;06-07-2023;70
124;78151;11-02-2021;21-02-2021;14-12-2022;106
125;75280;27-12-2018;11-01-2019;31-01-2019;107
126;22359;02-10-2019;12-11-2019;22-12-2019;126
127;17910;25-07-2022;31-07-2022;20-08-2022;102
128;39324;05-11-2018;25-11-2018;24-04-2022;73
129;37271;19-11-2020;23-11-2020;03-12-2020;90
130;16847;01-05-2022;07-05-2022;16-06-2022;135
131;84958;16-07-2018;25-07-2018;04-08-2018;115
132;30428;08-07-2020;20-07-2020;30-07-2020;122
133;69619;03-03-2023;19-03-2023;29-03-2023;112
134;41399;01-12-2019;08-12-2019;28-12-2019;117
135;89660;24-04-2023;05-05-2023;24-11-2023;91
136;75153;20-05-2021;26-06-2021;25-04-2023;46
137;85778;30-03-2018;09-04-2018;02-09-2023;54
138;50332;02-10-2020;15-11-2020;15-12-2020;96
139;11360;28-12-2018;12-01-2019;01-02-2019;107
140;75589;07-07-2019;12-07-2019;28-03-2023;56
141;42632;30-07-2022;18-08-2022;28-08-2022;109
142;81767;24-11-2018;05-12-2018;15-12-2018;147
143;45708;22-09-2022;29-09-2022;19-10-2022;76
144;96841;11-01-2022;29-01-2022;08-02-2022;92
145;42227;02-09-2023;10-09-2023;06-11-2023;77
146;12359;16-02-2018;06-03-2018;15-04-2018;121
147;92763;23-06-2019;25-07-2019;14-08-2019;131
148;54443;08-07-2022;10-08-2022;30-08-2022;83
149;44870;21-10-2021;04-11-2021;14-12-2021;98
150;25530;28-06-2018;09-07-2018;23-03-2022;59
151;68673;05-07-2019;15-07-2019;14-08-2019;110
152;47606;27-05-2020;10-06-2020;10-07-2020;89
153;20259;16-10-2020;22-10-2020;11-11-2020;132
154;76566;27-04-2020;12-05-2020;01-06-2020;109
155;88686;07-05-2019;20-05-2019;18-11-2021;82
156;83110;27-12-2019;07-01-2020;08-06-2021;64
157;88711;25-08-2019;11-10-2019;20-11-2019;109
158;80905;23-04-2020;05-05-2020;25-05-2020;101
159;82823;23-12-2018;29-12-2018;28-01-2019;90
160;70456;24-01-2019;02-03-2019;09-11-2021;87
161;35039;05-05-2020;21-05-2020;30-10-2020;107
162;40425;14-04-2018;25-04-2018;15-05-2018;125
163;51825;06-09-2018;10-09-2018;17-06-2020;112
164;99984;14-10-2020;20-10-2020;29-11-2020;132
165;48374;17-02-2021;08-03-2021;18-03-2021;108
166;36795;01-12-2021;13-12-2021;10-05-2022;109
167;25039;08-12-2018;18-12-2018;17-01-2019;94
168;46649;09-08-2020;24-08-2020;08-05-2023;67
169;84087;10-02-2019;16-02-2019;11-10-2019;137
170;90592;30-09-2023;03-10-2023;23-10-2023;90
171;68395;01-05-2018;16-05-2018;15-06-2018;131
172;24818;25-05-2018;03-06-2018;22-05-2019;97
173;61661;27-04-2021;02-05-2021;29-06-2022;82
174;36430;14-02-2020;03-03-2020;02-04-2020;99
175;49687;09-01-2021;15-01-2021;04-02-2021;94
176;81974;02-10-2022;22-10-2022;17-05-2023;73
177;80155;24-04-2019;13-05-2019;22-06-2019;125
178;34165;04-05-2020;14-05-2020;27-07-2022;88
179;59229;24-05-2020;07-07-2020;17-07-2020;113
180;74997;20-05-2021;27-05-2021;06-07-2021;119
181;71807;29-01-2018;16-02-2018;26-02-2018;139
182;89205;10-05-2019;20-05-2019;19-06-2023;64
183;66483;28-12-2019;02-01-2020;27-02-2023;47
184;81497;02-02-2020;17-02-2020;29-03-2020;114
185;17037;18-02-2020;02-03-2020;22-03-2020;118
186;18385;27-12-2020;14-01-2021;23-02-2021;93
187;38560;25-01-2022;10-02-2022;22-03-2022;104
188;10592;14-03-2019;19-03-2019;29-03-2019;115
189;69949;15-08-2020;29-08-2020;26-07-2021;110
190;54585;22-05-2019;28-06-2019;02-02-2022;71
191;96117;29-05-2022;08-06-2022;04-07-2022;110
192;92488;02-12-2021;07-12-2021;17-12-2021;131
193;32415;24-10-2022;06-12-2022;15-01-2023;78
194;94750;13-04-2018;30-04-2018;20-05-2018;147
195;17714;21-03-2023;02-04-2023;13-10-2023;95
196;96679;14-04-2018;25-04-2018;04-06-2018;134
197;91059;02-09-2018;09-09-2018;09-10-2018;122
198;50415;10-11-2022;20-12-2022;27-12-2023;85
199;60419;27-07-2022;05-09-2022;16-10-2022;128
200;92387;23-08-2021;30-08-2021;24-01-2022;113
201;63524;17-11-2018;29-11-2018;19-12-2018;112
202;69949;15-06-2019;27-07-2019;16-08-2019;107
203;63784;25-08-2022;11-09-2022;20-07-2023;79
204;69332;17-04-2021;27-04-2021;27-05-2021;123
205;44191;16-05-2022;03-06-2022;23-06-2022;96
206;65915;16-03-2018;25-03-2018;04-04-2018;92
207;84706;02-04-2018;05-04-2018;25-04-2018;141
208;90160;04-10-2023;18-11-2023;28-12-2023;76
209;41384;26-08-2020;08-09-2020;25-07-2023;82
210;15782;16-03-2019;31-03-2019;25-12-2022;84
211;23588;02-11-2020;20-11-2020;02-10-2022;71
212;92946;23-06-2021;12-07-2021;03-11-2023;76
213;85865;03-11-2022;06-11-2022;06-10-2023;84
214;38569;07-12-2018;26-12-2018;31-05-2021;86
215;83916;02-07-2021;07-07-2021;06-08-2021;74
216;40543;20-04-2022;26-04-2022;26-05-2022;123
217;97502;14-02-2023;18-02-2023;22-09-2023;119
218;20511;15-04-2022;27-04-2022;27-05-2022;82
219;71624;16-09-2018;05-10-2018;14-11-2018;116
220;42771;21-06-2019;24-06-2019;14-07-2019;117
221;63244;06-03-2022;13-04-2022;23-05-2022;128
222;71178;19-09-2022;07-10-2022;16-01-2023;93
223;38087;23-07-2020;27-07-2020;26-08-2020;91
224;43262;27-06-2023;30-06-2023;09-08-2023;106
225;69825;28-10-2018;11-11-2018;25-01-2019;98
226;42369;23-02-2021;07-04-2021;23-07-2021;95
227;37404;03-11-2020;20-11-2020;20-12-2020;113
228;40505;17-07-2021;05-08-2021;13-12-2023;65
229;97796;30-03-2019;05-04-2019;15-05-2019;105
230;19649;21-05-2020;02-06-2020;02-07-2020;138
231;69060;22-05-2020;26-05-2020;15-06-2020;129
232;78218;15-07-2018;22-07-2018;29-08-2020;88
233;85035;16-09-2020;23-09-2020;17-09-2023;74
234;22084;06-04-2020;13-05-2020;21-10-2021;98
235;15012;10-11-2018;13-11-2018;20-01-2020;71
236;67643;21-07-2019;28-07-2019;07-08-2019;130
237;32082;05-09-2019;19-10-2019;28-11-2019;105
238;52310;11-06-2022;28-06-2022;28-07-2022;96
239;41829;16-07-2020;24-07-2020;02-09-2020;108
240;24246;29-03-2022;06-05-2022;25-06-2023;77
241;80787;19-04-2021;06-05-2021;26-05-2021;104
242;74005;10-12-2021;19-01-2022;18-02-2022;100
243;12939;28-06-2022;03-07-2022;07-12-2023;96
244;84830;13-06-2018;16-06-2018;26-06-2018;138
245;86189;22-07-2022;04-08-2022;03-09-2022;87
246;99310;26-12-2022;01-02-2023;17-07-2023;70
247;24845;17-06-2020;22-06-2020;12-07-2020;132
248;15215;22-07-2018;03-08-2018;12-09-2018;113
249;37891;17-04-2021;27-04-2021;06-06-2021;112
250;88245;31-01-2023;04-02-2023;24-02-2023;100
251;49668;20-04-2020;29-04-2020;08-06-2020;114
252;21687;14-07-2020;19-08-2020;29-08-2020;140
253;81599;04-08-2020;09-08-2020;10-11-2021;95
254;58894;15-07-2018;28-07-2018;17-08-2018;107
255;97985;15-12-2020;02-01-2021;22-01-2023;84
256;12267;31-12-2020;20-01-2021;04-02-2022;52
257;83296;03-10-2021;15-10-2021;04-11-2022;78
258;99633;13-07-2020;15-08-2020;04-09-2020;124
259;75594;24-01-2020;27-01-2020;08-01-2022;78
260;34876;28-07-2023;14-08-2023;25-11-2023;90
261;42731;11-07-2020;15-07-2020;25-07-2020;116
262;97541;25-05-2020;01-06-2020;29-07-2022;78
263;28611;21-05-2018;03-07-2018;20-01-2021;79
264;94854;02-09-2018;09-10-2018;10-09-2019;130
265;15794;02-12-2022;20-12-2022;19-01-2023;103
266;20725;02-09-2019;09-09-2019;29-09-2019;92
267;23551;23-01-2018;10-02-2018;22-03-2018;128
268;21717;14-11-2022;28-11-2022;29-07-2023;74
269;51522;04-06-2019;12-07-2019;22-07-2019;128
270;34006;18-02-2023;24-02-2023;06-03-2023;120
271;70389;14-06-2023;20-06-2023;20-07-2023;101
272;41232;21-01-2021;24-01-2021;03-02-2021;88
273;88598;10-03-2020;20-03-2020;12-11-2023;77
274;62101;07-04-2021;25-04-2021;15-05-2021;82
275;57479;18-03-2020;01-04-2020;11-05-2020;143
276;80591;20-04-2020;05-05-2020;15-05-2020;114
277;45271;05-11-2021;21-11-2021;01-12-2021;93
278;92995;02-06-2018;13-06-2018;19-07-2023;54
279;18956;28-02-2021;15-04-2021;15-05-2021;124
280;98050;30-03-2021;06-04-2021;06-05-2021;76
281;26020;18-09-2018;22-09-2018;01-11-2018;117
282;34497;25-10-2019;01-12-2019;29-07-2021;71
283;70848;10-01-2022;23-01-2022;04-03-2022;93
284;74243;01-10-2022;11-10-2022;20-11-2022;95
285;30042;29-01-2022;11-02-2022;21-02-2022;96
286;57297;31-08-2018;13-09-2018;13-10-2018;123
287;47414;11-05-2019;26-05-2019;05-07-2019;115
288;16934;13-11-2020;22-12-2020;01-01-2021;113
289;15816;29-10-2019;12-11-2019;22-12-2019;98
290;59418;08-03-2023;22-03-2023;01-04-2023;87
291;79525;06-05-2023;12-05-2023;01-06-2023;85
292;58086;05-06-2019;17-06-2019;05-12-2021;81
293;58517;11-07-2022;17-07-2022;06-08-2022;87
294;18332;20-10-2018;02-11-2018;12-12-2018;126
295;92624;14-05-2021;31-05-2021;20-06-2021;106
296;84123;04-09-2021;10-09-2021;20-09-2021;103
297;18838;16-04-2022;19-04-2022;15-10-2023;87
298;57792;14-09-2022;29-09-2022;17-10-2022;91
299;12300;05-08-2021;15-08-2021;31-01-2022;80
300;88799;16-10-2020;21-10-2020;30-11-2020;103
301;75949;23-06-2023;06-07-2023;05-08-2023;89
302;38639;16-09-2018;29-09-2018;21-10-2021;69
303;77583;07-10-2023;17-10-2023;26-11-2023;107
304;73341;04-10-2019;22-10-2019;12-06-2020;81
305;73823;11-03-2021;31-03-2021;20-04-2021;67
306;66676;31-10-2019;12-11-2019;01-01-2022;68
307;68947;20-01-2020;23-01-2020;12-02-2020;86
308;41378;31-05-2022;11-07-2022;20-08-2022;89
309;81837;07-01-2018;12-01-2018;01-02-2018;116
310;29905;01-05-2018;05-05-2018;04-06-2018;126
311;58241;20-12-2018;26-01-2019;04-01-2023;56
312;37250;14-06-2022;17-06-2022;27-06-2022;106
313;28385;29-05-2021;04-06-2021;10-07-2023;64
314;85275;19-08-2020;01-09-2020;11-10-2020;114
315;34382;10-06-2018;18-06-2018;14-07-2023;55
316;41310;24-09-2019;12-10-2019;23-02-2022;77
317;78660;15-01-2018;27-01-2018;16-02-2018;144
318;35552;16-05-2020;22-06-2020;28-06-2021;95
319;86039;12-03-2019;19-04-2019;28-07-2023;72
320;40850;21-09-2019;27-09-2019;10-04-2023;68
321;39157;09-04-2021;13-04-2021;03-05-2021;88
322;57627;15-01-2018;20-01-2018;01-03-2018;113
323;17902;08-07-2018;27-07-2018;06-08-2018;159
324;23001;25-11-2021;08-12-2021;18-12-2021;81
325;95674;07-05-2018;14-05-2018;25-07-2023;69
326;59546;01-01-2020;07-01-2020;25-02-2021;104
327;58833;11-09-2018;14-09-2018;04-10-2018;141
328;88656;27-10-2018;14-11-2018;24-12-2018;125
329;51413;16-11-2019;28-11-2019;07-01-2020;118
330;12936;26-06-2021;30-06-2021;09-08-2021;107
331;43740;11-07-2019;28-07-2019;17-08-2019;121
332;35819;07-04-2020;16-05-2020;04-10-2022;89
333;53270;01-12-2021;05-12-2021;12-10-2022;90
334;10301;16-03-2018;29-03-2018;28-04-2018;108
335;10307;26-03-2023;06-04-2023;06-05-2023;108
336;55258;03-03-2019;13-04-2019;05-06-2021;72
337;99001;07-09-2022;18-09-2022;30-10-2023;101
338;29481;02-11-2022;19-11-2022;29-11-2022;119
339;77932;01-02-2020;17-02-2020;10-04-2021;97
340;42228;13-08-2020;17-08-2020;10-06-2023;62
341;21624;10-04-2019;24-04-2019;22-12-2022;77
342;97414;16-01-2021;24-02-2021;23-11-2023;79
343;62503;18-09-2018;06-10-2018;05-11-2018;124
344;77700;20-01-2019;01-02-2019;21-02-2019;126
345;71963;11-06-2023;25-06-2023;15-07-2023;92
346;37520;31-07-2019;15-08-2019;24-09-2019;109
347;18620;20-02-2021;31-03-2021;30-04-2021;124
348;38360;26-01-2018;14-02-2018;06-03-2018;120
349;92529;12-08-2020;21-08-2020;20-09-2020;113
350;16987;21-07-2023;04-09-2023;14-09-2023;100
351;14824;10-12-2018;24-12-2018;01-12-2022;60
352;62163;08-08-2021;22-09-2021;22-10-2021;115
353;72678;22-04-2020;02-05-2020;02-07-2022;76
354;84923;07-01-2018;18-01-2018;01-09-2018;114
355;95391;29-05-2023;01-06-2023;27-07-2023;101
356;76494;01-10-2019;14-10-2019;22-06-2023;68
357;82878;07-07-2018;12-08-2018;20-03-2021;98
358;15764;09-01-2020;29-01-2020;28-02-2020;94
359;69847;17-11-2021;01-12-2021;26-07-2022;89
360;14609;07-09-2023;24-09-2023;06-12-2023;80
361;65102;03-06-2019;20-06-2019;20-07-2019;132
362;34317;16-01-2018;02-02-2018;14-03-2018;114
363;96540;08-06-2021;25-06-2021;05-07-2021;93
364;41109;23-08-2020;03-09-2020;24-01-2022;76
365;86951;21-12-2018;04-01-2019;03-02-2019;101
366;36451;05-08-2020;23-08-2020;02-10-2020;131
367;55145;20-05-2021;23-05-2021;12-06-2021;124
368;69636;28-12-2020;04-01-2021;24-01-2021;93
369;31317;22-10-2019;08-11-2019;18-12-2019;133
370;20367;16-03-2018;05-04-2018;15-05-2018;116
371;24378;04-06-2022;18-06-2022;01-05-2023;75
372;59715;07-02-2018;12-02-2018;06-05-2023;58
373;28689;24-05-2021;04-07-2021;01-03-2022;90
374;30065;09-07-2023;20-07-2023;30-07-2023;117
375;99233;21-06-2021;04-07-2021;15-04-2022;102
376;77173;10-07-2019;19-07-2019;05-11-2021;69
377;48508;17-01-2020;26-01-2020;25-02-2020;108
378;34827;12-08-2018;16-08-2018;26-08-2018;126
379;95260;10-12-2021;22-12-2021;01-01-2022;85
380;88501;25-06-2019;04-07-2019;09-01-2021;96
381;53518;13-09-2023;24-09-2023;28-09-2023;62
382;47846;25-02-2022;11-04-2022;01-05-2022;119
383;38500;18-02-2023;05-03-2023;04-04-2023;141
384;76083;10-04-2019;13-04-2019;29-09-2020;102
385;20506;12-02-2019;24-02-2019;07-04-2020;88
386;67933;03-06-2019;14-06-2019;24-06-2019;109
387;91062;02-10-2018;18-10-2018;11-10-2022;57
388;50161;10-09-2021;21-09-2021;17-09-2023;77
389;62012;25-06-2021;01-08-2021;09-02-2022;93
390;55052;19-07-2018;23-07-2018;02-08-2018;129
391;98476;23-04-2022;02-05-2022;29-01-2023;86
392;69341;04-01-2023;24-01-2023;05-03-2023;99
393;73487;29-04-2021;11-06-2021;21-06-2021;111
394;66274;18-08-2023;30-08-2023;06-12-2023;86
395;67106;07-06-2020;18-06-2020;08-07-2020;104
396;31669;14-05-2018;26-05-2018;05-07-2018;136
397;91220;13-11-2020;18-11-2020;07-12-2020;120
398;88388;08-09-2020;16-10-2020;02-11-2020;123
399;68242;02-09-2020;20-09-2020;30-10-2020;112
400;74374;02-04-2023;17-05-2023;26-06-2023;93
401;66878;28-10-2020;06-11-2020;04-05-2023;76
402;87433;25-12-2022;02-01-2023;29-10-2023;93
403;10667;17-10-2022;24-11-2022;03-01-2023;82
404;26012;14-10-2019;21-11-2019;04-10-2022;81
405;92293;30-06-2023;10-08-2023;11-08-2023;85
406;82475;18-11-2020;27-11-2020;17-12-2020;108
407;92698;22-10-2018;28-11-2018;26-02-2020;105
408;68558;30-06-2022;05-08-2022;25-08-2022;112
409;70912;02-06-2020;15-06-2020;25-07-2020;132
410;77288;01-02-2023;11-02-2023;25-12-2023;104
411;27344;26-04-2018;06-05-2018;16-04-2020;87
412;39321;31-07-2019;03-08-2019;08-08-2019;109
413;11932;21-12-2019;27-01-2020;19-12-2021;82
414;59197;26-08-2023;10-10-2023;01-12-2023;100
415;13071;20-11-2019;05-12-2019;25-12-2019;99
416;92930;06-07-2022;18-07-2022;27-08-2022;110
417;62603;08-06-2020;12-06-2020;31-01-2021;88
418;29367;29-07-2019;09-08-2019;08-09-2019;117
419;85957;28-01-2019;09-02-2019;19-02-2019;127
420;67893;19-01-2020;01-02-2020;02-09-2022;87
421;70584;18-04-2023;23-04-2023;23-05-2023;90
422;91467;20-10-2019;04-12-2019;20-12-2019;143
423;47973;02-03-2021;12-03-2021;21-04-2021;81
424;20822;17-11-2018;23-11-2018;03-12-2018;137
425;52224;07-02-2019;21-02-2019;21-04-2023;71
426;96687;06-08-2023;11-08-2023;10-09-2023;91
427;81131;01-10-2022;11-11-2022;21-12-2022;82
428;11412;13-05-2020;19-06-2020;16-02-2023;54
429;97826;09-06-2022;15-06-2022;31-03-2023;76
430;74917;08-06-2022;23-06-2022;02-08-2022;125
431;55697;12-10-2020;29-10-2020;08-11-2020;122
432;92655;16-02-2021;28-02-2021;30-03-2021;85
433;76976;02-02-2020;10-02-2020;25-06-2020;112
434;14258;04-03-2020;17-03-2020;19-01-2022;67
435;65932;09-04-2022;24-05-2022;13-06-2022;107
436;87538;01-05-2023;19-05-2023;18-06-2023;120
437;40479;13-07-2019;17-07-2019;06-08-2019;106
438;28079;20-01-2020;25-01-2020;14-02-2020;125
439;16911;01-01-2023;07-02-2023;16-04-2023;92
440;95330;23-06-2022;31-07-2022;09-04-2023;69
441;81228;07-04-2023;22-04-2023;13-09-2023;89
442;68731;16-02-2023;20-02-2023;02-03-2023;113
443;18233;11-10-2022;20-10-2022;06-03-2023;103
444;78360;09-06-2018;13-06-2018;02-10-2020;94
445;67858;13-06-2020;24-07-2020;24-10-2021;81
446;61282;07-10-2018;10-10-2018;16-12-2023;68
447;74560;29-10-2021;04-11-2021;13-08-2023;75
448;24408;28-11-2019;05-12-2019;25-12-2019;89
449;47908;21-09-2019;06-10-2019;26-10-2019;110
450;59501;24-02-2022;03-03-2022;05-04-2022;95
451;24548;12-01-2021;18-01-2021;10-04-2023;81
452;17171;07-10-2023;13-11-2023;24-12-2023;92
453;39146;17-02-2020;03-03-2020;12-04-2020;130
454;12351;17-04-2022;29-04-2022;09-05-2022;97
455;64088;29-01-2021;09-03-2021;19-03-2021;104
456;15508;09-01-2018;20-02-2018;26-03-2019;111
457;16533;28-05-2018;09-06-2018;19-06-2018;133
458;81019;17-05-2021;23-05-2021;02-07-2021;108
459;26448;14-02-2021;20-02-2021;07-09-2023;57
460;64111;16-10-2020;29-10-2020;14-04-2022;82
461;71248;03-09-2023;18-09-2023;28-09-2023;112
462;25380;30-07-2022;08-08-2022;07-09-2022;102
463;95688;11-08-2018;25-08-2018;06-02-2023;66
464;64787;03-02-2022;20-02-2022;12-03-2022;86
465;71163;05-06-2018;20-07-2018;04-06-2021;68
466;48564;14-04-2022;20-04-2022;10-05-2022;126
467;68994;06-07-2020;17-08-2020;26-09-2020;99
468;80273;09-08-2019;21-08-2019;31-08-2019;109
469;83027;03-01-2023;21-01-2023;31-01-2023;119
470;41756;16-07-2019;04-08-2019;14-08-2019;112
471;17342;01-08-2022;09-08-2022;04-04-2023;84
472;81080;08-01-2023;12-01-2023;03-04-2023;100
473;15291;08-06-2018;16-06-2018;06-07-2018;122
474;81452;03-05-2020;07-05-2020;06-06-2020;131
475;52845;23-04-2022;03-06-2022;02-08-2023;79
476;48801;03-06-2022;23-06-2022;03-07-2022;99
477;89443;12-10-2019;22-10-2019;29-10-2020;100
478;25609;17-10-2019;21-10-2019;12-06-2020;93
479;69544;19-09-2020;08-10-2020;17-11-2020;92
480;15230;18-10-2018;29-11-2018;19-12-2018;140
481;53877;13-12-2018;31-12-2018;05-02-2019;101
482;12798;30-12-2018;06-02-2019;26-06-2019;85
483;90300;28-06-2018;13-08-2018;23-08-2018;138
484;98232;07-03-2023;15-03-2023;14-04-2023;119
485;61730;30-04-2022;10-05-2022;18-04-2023;92
486;92847;24-02-2021;06-03-2021;15-04-2021;107
487;10385;24-10-2021;29-10-2021;08-12-2021;113
488;20622;29-01-2021;05-02-2021;16-03-2021;135
489;97730;29-10-2018;05-12-2018;07-12-2020;89
490;88056;08-12-2018;18-12-2018;17-01-2019;95
491;91010;25-10-2020;09-12-2020;29-12-2020;98
492;41954;19-05-2022;03-06-2022;03-07-2022;104
493;87449;06-02-2020;21-02-2020;23-03-2020;129
494;56060;02-02-2023;13-02-2023;05-03-2023;115
495;42152;18-07-2019;02-08-2019;17-11-2022;87
496;78329;24-12-2020;29-12-2020;07-02-2021;71
497;58927;28-04-2022;01-05-2022;21-05-2022;102
